Classifier Name,Training or Test set,Balanced or unbalanced train set,Number of training samples,Number of non-healthy companies,TP,TN,FP,FN,ROC-AUC,Accuracy,Precision,Recall,F1 Score,Fold
LDA,Train,Balanced,744,186,73,520,38,113,0.8582591436389564,0.7970430107526881,0.6576576576576577,0.3924731182795699,0.49158249158249157,1
LDA,Test,Unbalanced,2679,62,27,2430,187,35,0.8265805465504703,0.9171332586786114,0.1261682242990654,0.43548387096774194,0.1956521739130435,1
Logistic Regression,Train,Balanced,744,186,69,527,31,117,0.8548579797279069,0.8010752688172043,0.69,0.3709677419354839,0.4825174825174825,1
Logistic Regression,Test,Unbalanced,2679,62,28,2436,181,34,0.8337606468869797,0.9197461739455021,0.1339712918660287,0.45161290322580644,0.2066420664206642,1
Decision Tree,Train,Balanced,744,186,120,533,25,66,0.907585655374417,0.8776881720430108,0.8275862068965517,0.6451612903225806,0.7250755287009063,1
Decision Tree,Test,Unbalanced,2679,62,27,2337,280,35,0.7365950916464308,0.8824188129899216,0.08794788273615635,0.43548387096774194,0.14634146341463414,1
Random Forest,Train,Balanced,744,186,186,558,0,0,1.0,1.0,1.0,1.0,1.0,1
Random Forest,Test,Unbalanced,2679,62,34,2387,230,28,0.8458774514033552,0.9036954087346024,0.12878787878787878,0.5483870967741935,0.2085889570552147,1
KNN,Train,Balanced,744,186,116,517,41,70,0.9153803907966239,0.8508064516129032,0.7388535031847133,0.6236559139784946,0.6763848396501457,1
KNN,Test,Unbalanced,2679,62,36,2316,301,26,0.8274772886955022,0.8779395296752519,0.10682492581602374,0.5806451612903226,0.18045112781954886,1
Naive Bayes,Train,Balanced,744,186,92,492,66,94,0.8365128916637761,0.7849462365591398,0.5822784810126582,0.4946236559139785,0.5348837209302325,1
Naive Bayes,Test,Unbalanced,2679,62,31,2312,305,31,0.8234619793656859,0.8745800671892497,0.09226190476190477,0.5,0.15577889447236182,1
SVM,Train,Balanced,744,186,91,532,26,95,0.8875399853547616,0.8373655913978495,0.7777777777777778,0.489247311827957,0.6006600660066007,1
SVM,Test,Unbalanced,2679,62,32,2420,197,30,0.8433967729609131,0.9152668906308324,0.13973799126637554,0.5161290322580645,0.21993127147766323,1
Gradient Boosting,Train,Balanced,744,186,155,554,4,31,0.9944213203838593,0.9529569892473119,0.9748427672955975,0.8333333333333334,0.8985507246376812,1
Gradient Boosting,Test,Unbalanced,2679,62,34,2351,266,28,0.8313385186189555,0.8902575587905935,0.11333333333333333,0.5483870967741935,0.1878453038674033,1
LDA,Train,Balanced,744,186,72,525,33,114,0.8424191621382048,0.8024193548387096,0.6857142857142857,0.3870967741935484,0.4948453608247423,2
LDA,Test,Unbalanced,2679,62,34,2425,192,28,0.8762680735143663,0.917879805897723,0.1504424778761062,0.5483870967741935,0.2361111111111111,2
Logistic Regression,Train,Balanced,744,186,65,530,28,121,0.8408004778972522,0.7997311827956989,0.6989247311827957,0.34946236559139787,0.4659498207885305,2
Logistic Regression,Test,Unbalanced,2679,62,28,2471,146,34,0.8673376311215748,0.9328107502799552,0.16091954022988506,0.45161290322580644,0.23728813559322035,2
Decision Tree,Train,Balanced,744,186,101,542,16,85,0.8978542798782133,0.864247311827957,0.8632478632478633,0.543010752688172,0.6666666666666666,2
Decision Tree,Test,Unbalanced,2679,62,32,2373,244,30,0.7770162831116645,0.8977230309817096,0.11594202898550725,0.5161290322580645,0.1893491124260355,2
Random Forest,Train,Balanced,744,186,186,558,0,0,1.0,1.0,1.0,1.0,1.0,2
